City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Lebu,CL,52.39,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
381,Chumikan,RU,33.96,overcast clouds,54.7183,135.315,Fortuna
382,Port Macquarie,AU,58.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
409,Burns Lake,CA,44.71,overcast clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
411,Prince Rupert,CA,45.28,light rain,54.3161,-130.3201,Crest Hotel
415,Kormilovka,RU,52.99,light rain,55.0026,74.1028,"Zhemchuzhina, Baza Otdykha"
419,Rondonopolis,BR,54.66,scattered clouds,-16.4708,-54.6356,Serras Hotel
425,Liepaja,LV,44.58,clear sky,56.5419,21.0367,Promenade Hotel
432,Bodaybo,RU,52.68,overcast clouds,57.8506,114.1933,Apartment on Karla Libknekhta 17
434,Vestmannaeyjar,IS,46.72,overcast clouds,63.4427,-20.2734,Glamping & Camping
445,Khandyga,RU,37.08,overcast clouds,62.6667,135.6,Apel'sin
446,Kushmurun,KZ,48.63,few clouds,52.4503,64.6311,Gostinitsa Pri Depo
448,Oktyabrskoye,RU,42.94,clear sky,43.0645,44.7417,Prolesok Mini-hotel
460,Ucluelet,CA,50.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
463,Halifax,CA,55.69,broken clouds,44.6453,-63.5724,Hotel Halifax and Hotel Barrington
467,Passos,BR,49.28,clear sky,-20.7189,-46.6097,Hotel Mohallem
469,Tigil,RU,47.41,overcast clouds,57.8,158.6667,Tigil'
470,Shubarkuduk,KZ,50.31,broken clouds,49.1447,56.4872,Sirius
472,Linjiang,CN,56.82,clear sky,41.8069,126.9078,格林豪泰
476,Komsomolets,KZ,47.23,scattered clouds,53.7453,62.0708,Avtostoyanka
482,Somerset West,ZA,57.29,overcast clouds,-34.084,18.8211,Lourens River Guesthouse
486,Poronaysk,RU,50.2,scattered clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
489,Bilibino,RU,35.78,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
496,De-Kastri,RU,42.12,broken clouds,51.4667,140.7833,Somon Hotel
504,Nanortalik,GL,37.11,few clouds,60.1432,-45.2371,Hotel Kap Farvel
510,Mehamn,NO,33.71,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
512,Christchurch,NZ,58.41,few clouds,-43.5333,172.6333,The George
513,Tommot,RU,41.52,overcast clouds,58.9564,126.2925,Gostinitsa Tommot
516,Garca,BR,48.85,overcast clouds,-22.2106,-49.6561,Fenix Motel(Only Adults) - Garça
518,Gwanda,ZW,55.13,clear sky,-20.9333,29.0,Mafax Homeways
521,Lasa,IT,56.03,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
523,Gualeguaychu,AR,47.8,clear sky,-33.0094,-58.5172,Hotel Los Angeles
525,Kharp,RU,33.62,broken clouds,66.8014,65.8081,"Hotel ""Sob"""
526,Ordynskoye,RU,58.91,light rain,54.3656,81.8994,Lunevka
527,Pavlohrad,UA,47.35,light rain,48.5167,35.8667,Kompleks Stylʹ
529,San Vicente,AR,46.67,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
532,Rujiena,LV,41.05,overcast clouds,57.8975,25.3316,Lauvas Līcis
536,Kadnikov,RU,31.84,broken clouds,59.5022,40.338,Zolotaya Milya
